#       # k              E            BS weight       TS weight
      0.0000000     -0.2445439       0.0015723       0.0015723
      0.0039751     -0.2445086       0.0015723       0.0015723
      0.0079502     -0.2444026       0.0015723       0.0015722
      0.0119253     -0.2442260       0.0015722       0.0015722
      0.0159003     -0.2439791       0.0015722       0.0015722
      0.0198754     -0.2436619       0.0015716       0.0015728
      0.0238505     -0.2432749       0.0015722       0.0015722
      0.0278256     -0.2428182       0.0015722       0.0015721
      0.0318007     -0.2422923       0.0015722       0.0015720
      0.0357758     -0.2416976       0.0015720       0.0015721
      0.0397509     -0.2410348       0.0015720       0.0015720
      0.0437259     -0.2403042       0.0015720       0.0015719
      0.0477010     -0.2395066       0.0015714       0.0015724
      0.0516761     -0.2386427       0.0015718       0.0015718
      0.0556512     -0.2377131       0.0015717       0.0015718
      0.0596263     -0.2367189       0.0015718       0.0015716
      0.0636014     -0.2356607       0.0015715       0.0015717
      0.0675765     -0.2345397       0.0015714       0.0015716
      0.0715515     -0.2333568       0.0015715       0.0015713
      0.0755266     -0.2321130       0.0015712       0.0015715
      0.0795017     -0.2308096       0.0015714       0.0015711
      0.0834768     -0.2294477       0.0015713       0.0015710
      0.0874519     -0.2280286       0.0015709       0.0015712
      0.0914270     -0.2265537       0.0015708       0.0015711
      0.0954021     -0.2250244       0.0015710       0.0015706
      0.0993771     -0.2234422       0.0015692       0.0015722
      0.1033522     -0.2218086       0.0015704       0.0015708
      0.1073273     -0.2201253       0.0015702       0.0015707
      0.1113024     -0.2183939       0.0015705       0.0015701
      0.1152775     -0.2166163       0.0015699       0.0015704
      0.1192526     -0.2147942       0.0015703       0.0015698
      0.1232276     -0.2129296       0.0015696       0.0015702
      0.1272027     -0.2110244       0.0015700       0.0015695
      0.1311778     -0.2090808       0.0015699       0.0015693
      0.1351529     -0.2071009       0.0015698       0.0015692
      0.1391280     -0.2050868       0.0015696       0.0015690
      0.1431031     -0.2030409       0.0015695       0.0015688
      0.1470782     -0.2009655       0.0015694       0.0015687
      0.1510532     -0.1988630       0.0015691       0.0015686
      0.1550283     -0.1967360       0.0015690       0.0015684
      0.1590034     -0.1945870       0.0015689       0.0015682
      0.1629785     -0.1924188       0.0015680       0.0015688
      0.1669536     -0.1902341       0.0015687       0.0015679
      0.1709287     -0.1880356       0.0015696       0.0015666
      0.1749038     -0.1858263       0.0015676       0.0015684
      0.1788788     -0.1836092       0.0015674       0.0015682
      0.1828539     -0.1813872       0.0015681       0.0015673
      0.1868290     -0.1791637       0.0015671       0.0015680
      0.1908041     -0.1769416       0.0015670       0.0015678
      0.1947792     -0.1747244       0.0015673       0.0015672
      0.1987543     -0.1725154       0.0015673       0.0015669
      0.2027294     -0.1703181       0.0015674       0.0015666
      0.2067044     -0.1681358       0.0015664       0.0015673
      0.2106795     -0.1659723       0.0015663       0.0015672
      0.2146546     -0.1638312       0.0015670       0.0015662
      0.2186297     -0.1617162       0.0015661       0.0015669
      0.2226048     -0.1596312       0.0015660       0.0015668
      0.2265799     -0.1575799       0.0015659       0.0015667
      0.2305550     -0.1555664       0.0015658       0.0015666
      0.2345300     -0.1535946       0.0015665       0.0015658
      0.2385051     -0.1516687       0.0015664       0.0015657
      0.2424802     -0.1497928       0.0015660       0.0015659
      0.2464553     -0.1479711       0.0015651       0.0015667
      0.2504304     -0.1462078       0.0015660       0.0015657
      0.2544055     -0.1445074       0.0015654       0.0015661
      0.2583806     -0.1428741       0.0015655       0.0015660
      0.2623556     -0.1413124       0.0015639       0.0015674
      0.2663307     -0.1398269       0.0015658       0.0015655
      0.2703058     -0.1384220       0.0015654       0.0015658
      0.2742809     -0.1371024       0.0015658       0.0015654
      0.2782560     -0.1358726       0.0015645       0.0015667
      0.2822311     -0.1347374       0.0015656       0.0015655
      0.2862062     -0.1337014       0.0015658       0.0015653
      0.2901812     -0.1327693       0.0015654       0.0015656
      0.2941563     -0.1319460       0.0015658       0.0015652
      0.2981314     -0.1312362       0.0015657       0.0015654
      0.3021065     -0.1306446       0.0015656       0.0015654
      0.3060816     -0.1301762       0.0015655       0.0015655
      0.3100567     -0.1298356       0.0015657       0.0015653
      0.3140317     -0.1296277       0.0015655       0.0015655
      0.3180068     -0.1295574       0.0015655       0.0015655
      0.3180068     -0.1295574       0.0015655       0.0015655
      0.3259570     -0.1298484       0.0015655       0.0015655
      0.3339072     -0.1307466       0.0015655       0.0015655
      0.3418573     -0.1322898       0.0015657       0.0015654
      0.3498075     -0.1345147       0.0015655       0.0015656
      0.3577577     -0.1374575       0.0015655       0.0015658
      0.3657079     -0.1411532       0.0015654       0.0015661
      0.3736580     -0.1456353       0.0015660       0.0015658
      0.3816082     -0.1509363       0.0015667       0.0015656
      0.3895584     -0.1570867       0.0015672       0.0015659
      0.3975085     -0.1641155       0.0015678       0.0015663
      0.4054587     -0.1720499       0.0015686       0.0015669
      0.4134089     -0.1809149       0.0015677       0.0015695
      0.4213591     -0.1907338       0.0015687       0.0015707
      0.4293092     -0.2015274       0.0015699       0.0015720
      0.4372594     -0.2133149       0.0015735       0.0015714
      0.4452096     -0.2261127       0.0015732       0.0015753
      0.4531597     -0.2399352       0.0015772       0.0015751
      0.4611099     -0.2547945       0.0015773       0.0015794
      0.4690601     -0.2707003       0.0015797       0.0015817
      0.4770103     -0.2876597       0.0015842       0.0015822
      0.4849604     -0.3056772       0.0015850       0.0015868
      0.4929106     -0.3247549       0.0015895       0.0015878
      0.5008608     -0.3448919       0.0015923       0.0015908
      0.5088109     -0.3660847       0.0015952       0.0015938
      0.5167611     -0.3883268       0.0015969       0.0015982
      0.5247113     -0.4116085       0.0016012       0.0016000
      0.5326614     -0.4359173       0.0016041       0.0016031
      0.5406116     -0.4612373       0.0016071       0.0016062
      0.5485618     -0.4875496       0.0016092       0.0016101
      0.5565120     -0.5148316       0.0016129       0.0016122
      0.5644621     -0.5430579       0.0016151       0.0016158
      0.5724123     -0.5721992       0.0016186       0.0016180
      0.5803625     -0.6022231       0.0016213       0.0016208
      0.5883126     -0.6330937       0.0016239       0.0016234
      0.5962628     -0.6647719       0.0016264       0.0016260
      0.6042130     -0.6972151       0.0016285       0.0016289
      0.6121632     -0.7303773       0.0016309       0.0016312
      0.6201133     -0.7642095       0.0016335       0.0016332
      0.6280635     -0.7986594       0.0016354       0.0016357
      0.6360137     -0.8336717       0.0016377       0.0016375
      0.6439638     -0.8691883       0.0016397       0.0016395
      0.6519140     -0.9051480       0.0016414       0.0016416
      0.6598642     -0.9414872       0.0016432       0.0016434
      0.6678144     -0.9781395       0.0016451       0.0016450
      0.6757645     -1.0150365       0.0016467       0.0016466
      0.6837147     -1.0521073       0.0016482       0.0016482
      0.6916649     -1.0892794       0.0016497       0.0016496
      0.6996150     -1.1264782       0.0016511       0.0016510
      0.7075652     -1.1636277       0.0016524       0.0016524
      0.7155154     -1.2006507       0.0016536       0.0016536
      0.7234655     -1.2374686       0.0016548       0.0016548
      0.7314157     -1.2740022       0.0016559       0.0016559
      0.7393659     -1.3101717       0.0016569       0.0016570
      0.7473161     -1.3458968       0.0016580       0.0016579
      0.7552662     -1.3810973       0.0016589       0.0016589
      0.7632164     -1.4156930       0.0016597       0.0016598
      0.7711666     -1.4496043       0.0016606       0.0016606
      0.7791167     -1.4827522       0.0016613       0.0016614
      0.7870669     -1.5150587       0.0016621       0.0016621
      0.7950171     -1.5464471       0.0016628       0.0016628
      0.8029673     -1.5768420       0.0016634       0.0016634
      0.8109174     -1.6061699       0.0016640       0.0016640
      0.8188676     -1.6343595       0.0016645       0.0016645
      0.8268178     -1.6613413       0.0016650       0.0016651
      0.8347679     -1.6870488       0.0016655       0.0016655
      0.8427181     -1.7114178       0.0016660       0.0016660
      0.8506683     -1.7343875       0.0016664       0.0016664
      0.8586185     -1.7559000       0.0016667       0.0016667
      0.8665686     -1.7759008       0.0016671       0.0016671
      0.8745188     -1.7943391       0.0016674       0.0016674
      0.8824690     -1.8111679       0.0016676       0.0016676
      0.8904191     -1.8263441       0.0016679       0.0016679
      0.8983693     -1.8398285       0.0016681       0.0016681
      0.9063195     -1.8515866       0.0016683       0.0016683
      0.9142696     -1.8615878       0.0016684       0.0016684
      0.9222198     -1.8698063       0.0016686       0.0016686
      0.9301700     -1.8762207       0.0016687       0.0016687
      0.9381202     -1.8808144       0.0016687       0.0016687
      0.9460703     -1.8835754       0.0016688       0.0016688
      0.9540205     -1.8844965       0.0016688       0.0016688
      0.9540205     -1.8844965       0.0016688       0.0016688
      0.9619707     -1.8835754       0.0016688       0.0016688
      0.9699208     -1.8808144       0.0016687       0.0016687
      0.9778710     -1.8762207       0.0016687       0.0016687
      0.9858212     -1.8698063       0.0016686       0.0016686
      0.9937714     -1.8615878       0.0016684       0.0016684
      1.0017215     -1.8515866       0.0016683       0.0016683
      1.0096717     -1.8398285       0.0016681       0.0016681
      1.0176219     -1.8263441       0.0016679       0.0016679
      1.0255720     -1.8111679       0.0016676       0.0016676
      1.0335222     -1.7943391       0.0016674       0.0016674
      1.0414724     -1.7759008       0.0016671       0.0016671
      1.0494226     -1.7559000       0.0016667       0.0016667
      1.0573727     -1.7343875       0.0016664       0.0016664
      1.0653229     -1.7114178       0.0016660       0.0016660
      1.0732731     -1.6870488       0.0016655       0.0016655
      1.0812232     -1.6613413       0.0016650       0.0016651
      1.0891734     -1.6343595       0.0016645       0.0016645
      1.0971236     -1.6061699       0.0016640       0.0016640
      1.1050737     -1.5768420       0.0016634       0.0016634
      1.1130239     -1.5464471       0.0016628       0.0016628
      1.1209741     -1.5150587       0.0016621       0.0016621
      1.1289243     -1.4827522       0.0016614       0.0016613
      1.1368744     -1.4496043       0.0016606       0.0016606
      1.1448246     -1.4156930       0.0016597       0.0016598
      1.1527748     -1.3810973       0.0016589       0.0016589
      1.1607249     -1.3458968       0.0016580       0.0016579
      1.1686751     -1.3101717       0.0016569       0.0016570
      1.1766253     -1.2740022       0.0016559       0.0016559
      1.1845755     -1.2374686       0.0016548       0.0016548
      1.1925256     -1.2006507       0.0016536       0.0016536
      1.2004758     -1.1636277       0.0016524       0.0016524
      1.2084260     -1.1264782       0.0016511       0.0016510
      1.2163761     -1.0892794       0.0016497       0.0016496
      1.2243263     -1.0521073       0.0016482       0.0016482
      1.2322765     -1.0150365       0.0016467       0.0016466
      1.2402267     -0.9781395       0.0016450       0.0016451
      1.2481768     -0.9414872       0.0016432       0.0016434
      1.2561270     -0.9051480       0.0016416       0.0016414
      1.2640772     -0.8691883       0.0016397       0.0016395
      1.2720273     -0.8336717       0.0016375       0.0016377
      1.2799775     -0.7986594       0.0016357       0.0016354
      1.2879277     -0.7642095       0.0016335       0.0016332
      1.2958778     -0.7303773       0.0016309       0.0016312
      1.3038280     -0.6972151       0.0016289       0.0016285
      1.3117782     -0.6647719       0.0016264       0.0016260
      1.3197284     -0.6330937       0.0016239       0.0016234
      1.3276785     -0.6022231       0.0016213       0.0016208
      1.3356287     -0.5721992       0.0016186       0.0016180
      1.3435789     -0.5430579       0.0016151       0.0016158
      1.3515290     -0.5148316       0.0016129       0.0016122
      1.3594792     -0.4875496       0.0016101       0.0016092
      1.3674294     -0.4612373       0.0016071       0.0016062
      1.3753796     -0.4359173       0.0016041       0.0016031
      1.3833297     -0.4116085       0.0016000       0.0016012
      1.3912799     -0.3883268       0.0015969       0.0015982
      1.3992301     -0.3660847       0.0015952       0.0015938
      1.4071802     -0.3448919       0.0015902       0.0015929
      1.4151304     -0.3247549       0.0015895       0.0015878
      1.4230806     -0.3056772       0.0015868       0.0015850
      1.4310308     -0.2876597       0.0015842       0.0015822
      1.4389809     -0.2707003       0.0015817       0.0015797
      1.4469311     -0.2547945       0.0015773       0.0015794
      1.4548813     -0.2399352       0.0015772       0.0015751
      1.4628314     -0.2261127       0.0015753       0.0015732
      1.4707816     -0.2133149       0.0015735       0.0015714
      1.4787318     -0.2015274       0.0015699       0.0015720
      1.4866819     -0.1907338       0.0015687       0.0015707
      1.4946321     -0.1809149       0.0015677       0.0015695
      1.5025823     -0.1720499       0.0015686       0.0015669
      1.5105325     -0.1641155       0.0015678       0.0015663
      1.5184826     -0.1570867       0.0015674       0.0015657
      1.5264328     -0.1509363       0.0015667       0.0015656
      1.5343830     -0.1456353       0.0015656       0.0015662
      1.5423331     -0.1411532       0.0015657       0.0015657
      1.5502833     -0.1374575       0.0015666       0.0015646
      1.5582335     -0.1345147       0.0015653       0.0015658
      1.5661837     -0.1322898       0.0015653       0.0015658
      1.5741338     -0.1307466       0.0015655       0.0015655
      1.5820840     -0.1298484       0.0015655       0.0015655
      1.5900342     -0.1295574       0.0015655       0.0015655
      1.5900342     -0.1295574       0.0015655       0.0015655
      1.5940093     -0.1296277       0.0015655       0.0015655
      1.5979843     -0.1298356       0.0015655       0.0015655
      1.6019594     -0.1301762       0.0015655       0.0015655
      1.6059345     -0.1306446       0.0015654       0.0015656
      1.6099096     -0.1312362       0.0015660       0.0015651
      1.6138847     -0.1319460       0.0015656       0.0015654
      1.6178598     -0.1327693       0.0015655       0.0015655
      1.6218349     -0.1337014       0.0015656       0.0015654
      1.6258099     -0.1347374       0.0015655       0.0015656
      1.6297850     -0.1358726       0.0015653       0.0015658
      1.6337601     -0.1371024       0.0015658       0.0015653
      1.6377352     -0.1384220       0.0015655       0.0015657
      1.6417103     -0.1398269       0.0015654       0.0015659
